"SPECIES","NAME"
"S98","Daphne mezereum"
"S99","Dasiphora fruticosa"
"S100","Drosera rotundifolia"
"S101","Dryopteris carthusiana"
"S102","Dryopteris expansa"
"S103","Dryopteris filix-mas"
"S104","Echium vulgare"
"S105","Eleocharis parvula"
"S106","Epilobium hirsutum"
"S107","Epilobium obscurum"
"S108","Epilobium parviflorum"
"S109","Epilobium roseum"
"S110","Epilobium tetragonum"
"S111","Epipactis helleborine"
"S112","Equisetum fluviatile"
"S113","Equisetum hyemale"
"S114","Equisetum pratense"
"S115","Equisetum variegatum"
"S116","Eriophorum angustifolium"
"S117","Eriophorum latifolium"
"S118","Euphorbia palustris"
"S119","Festuca polesica"
"S120","Filago arvensis"
"S121","Frangula alnus"
"S122","Galatella linosyris"
"S123","Galium mollugo"
"S124","Geranium columbinum"
"S125","Geranium dissectum"
"S126","Geranium sylvaticum"
"S127","Globularia vulgaris"
"S128","Glyceria notata"
"S129","Gnaphalium sylvaticum"
"S130","Gymnocarpium dryopteris"
"S131","Gypsophila fastigiata"
"S132","Hedera helix"
"S133","Helichrysum arenarium"
"S134","Herminium monorchis"
"S135","Hieracium subulatidens"
"S136","Hieracium triviale"
"S137","Hippuris vulgaris"
"S138","Holcus lanatus"
"S139","Holcus mollis"
"S140","Honckenya peploides"
"S141","Hottonia palustris"
"S142","Hylotelephium telephium"
"S143","Hypochaeris radicata"
"S144","Hyssopus officinalis"
"S145","Iris pseudacorus"
"S146","Isatis tinctoria"
"S147","Jacobaea vulgaris"
"S148","Jacobaea vulgaris subsp. gotlandica"
"S149","Jasione montana"
"S150","Juncus bulbosus"
"S151","Juncus effusus"
"S152","Juncus squarrosus"
"S153","Kali turgida"
"S154","Koeleria glauca"
"S155","Lappula squarrosa"
"S156","Lathraea squamaria"
"S157","Lathyrus linifolius"
"S158","Lathyrus niger"
"S159","Lathyrus vernus"
"S160","Lepidium ruderale"
"S161","Leymus arenarius"
"S162","Lithospermum officinale"
"S163","Logfia minima"
"S164","Lonicera xylosteum"
"S165","Lotus maritimus"
"S166","Luzula pilosa"
"S167","Lychnis flos-cuculi"
"S168","Lysimachia europaea"
"S169","Lysimachia maritima"
"S170","Lysimachia thyrsiflora"
"S171","Maianthemum bifolium"
"S172","Malva alcea"
"S173","Malva sylvestris"
"S174","Matricaria chamomilla"
"S175","Melampyrum arvense"
"S176","Melampyrum nemorosum"
"S177","Melampyrum sylvaticum"
"S178","Melica ciliata"
"S179","Melica uniflora"
"S180","Milium effusum"
"S181","Monotropa hypophegea"
"S182","Monotropa hypopitys"
"S183","Myosotis scorpioides"
"S184","Myrica gale"
"S185","Myriophyllum alterniflorum"
"S186","Myriophyllum spicatum"
"S187","Nardus stricta"
"S188","Neotinea ustulata"
"S189","Neottia nidus-avis"
"S190","Nepeta cataria"
"S191","Neslia paniculata"
"S192","Noccaea perfoliata"
"S193","Nymphaea alba"
"S194","Ononis spinosa subsp. hircina"
"S195","Ononis spinosa subsp. procurrens"
"S196","Onopordum acanthium"
"S197","Ophioglossum vulgatum"
"S198","Ophrys insectifera"
"S199","Orchis militaris"
"S200","Orthilia secunda"
"S201","Oxalis acetosella"
"S202","Oxytropis campestris"
"S203","Papaver rhoeas"
"S204","Pedicularis palustris"
"S205","Persicaria hydropiper"
"S206","Peucedanum palustre"
"S207","Phegopteris connectilis"
"S208","Phleum arenarium"
"S209","Picea abies"
"S210","Pinus sylvestris"
"S211","Plantago coronopus"
"S212","Plantago media"
"S213","Plantago tenuiflora"
